method,taste
carbonator,66
carbonator,60
carbonator,56
carbonator,67
carbonator,72
carbonator,57
carbonator,60
carbonator,73
carbonator,66
carbonator,56
carbonator,62
carbonator,67
carbonator,61
carbonator,56
carbonator,61
carbonator,70
carbonator,71
carbonator,64
carbonator,71
carbonator,55
carbonator,76
carbonator,50
carbonator,77
carbonator,47
carbonator,48
carbonator,78
carbonator,51
carbonator,69
carbonator,62
carbonator,65
carbonator,71
carbonator,62
carbonator,82
carbonator,78
carbonator,73
carbonator,76
carbonator,62
carbonator,62
carbonator,48
carbonator,73
carbonator,58
carbonator,59
carbonator,78
carbonator,55
carbonator,73
carbonator,73
carbonator,44
carbonator,67
carbonator,79
carbonator,72
carbonator,61
carbonator,63
carbonator,64
carbonator,76
carbonator,64
carbonator,53
carbonator,68
carbonator,74
carbonator,67
carbonator,80
dryIce,68
dryIce,66
dryIce,69
dryIce,75
dryIce,65
dryIce,73
dryIce,55
dryIce,69
dryIce,66
dryIce,59
dryIce,76
dryIce,77
dryIce,68
dryIce,67
dryIce,60
dryIce,65
dryIce,76
dryIce,73
dryIce,72
dryIce,65
dryIce,56
dryIce,50
dryIce,65
dryIce,72
dryIce,64
dryIce,60
dryIce,69
dryIce,74
dryIce,61
dryIce,65
dryIce,79
dryIce,62
dryIce,71
dryIce,72
dryIce,50
dryIce,65
dryIce,69
dryIce,58
dryIce,60
dryIce,69
dryIce,62
dryIce,66
dryIce,66
dryIce,68
dryIce,57
dryIce,62
dryIce,59
dryIce,54
dryIce,62
dryIce,73
dryIce,68
dryIce,75
dryIce,67
dryIce,61
dryIce,67
dryIce,79
dryIce,62
dryIce,73
dryIce,70
dryIce,75
yeast,81
yeast,80
yeast,51
yeast,86
yeast,73
yeast,75
yeast,79
yeast,68
yeast,87
yeast,74
yeast,76
yeast,72
yeast,73
yeast,79
yeast,75
yeast,74
yeast,77
yeast,76
yeast,54
yeast,69
yeast,81
yeast,77
yeast,64
yeast,84
yeast,71
yeast,77
yeast,85
yeast,75
yeast,66
yeast,94
yeast,79
yeast,74
yeast,66
yeast,79
yeast,80
yeast,75
yeast,87
yeast,59
yeast,80
yeast,76
yeast,75
yeast,76
yeast,70
yeast,66
yeast,70
yeast,73
yeast,70
yeast,72
yeast,78
yeast,76
yeast,85
yeast,67
yeast,71
yeast,84
yeast,85
yeast,68
yeast,77
yeast,57
yeast,77
yeast,68